"","Study_ID_Short","trend_nee","trend_gpp","trend_reco","Latitude","Longitude"
"1","Aurela_FI-Kaa_tower1","1.21494448042857","21.78","32.4233333333333",69.14057,27.26985
"4","Aurela_FI-Sod_tower1","0.322000000000001","-6.93000000000002","-1.00999999999999",67.36238641,26.63859066
"22","Goulden_CA-Oas_tower1","3.7585782","-4.16595118555556","4.08295100000009",53.62889,-106.19779
"23","Harazano_US-Cms_tower1","14.30679298","-16.180851769","-7.389662572",71.32019,-156.62227
"26","Iwata_US-Rpf_tower1","1.725","92.0875","98.6625",65.11983333,-147.5123528
"27","Iwata_US-Uaf_tower1","3.06999628366667","5.81717056833333","21.0169548038571",64.86627,-147.85553
"28","Kljun_CA-sOBS_tower2","9.37324418575","-5.16536787724997","-7.64416032325003",53.99,-105.12
"29","Kolari_FI-Var_tower1","15.4911744","-2.88878219999998","7.91102159999998",67.7549,29.690137
"34","Laurila_FI-Lom_tower1","0.575397878166675","-80.3733333333333","-82.5866666666666",67.997239,24.209178
"37","Lindroth_SE-Nor_tower1","-40.49","167.0475","91.1254166666667",60.08649722,17.47950278
"38","Margolis_CA-Obs_tower1","5.51029238571429","14.83846716","24.1786754",53.98717,-105.11779
"39","Margolis_CA-Qfo_tower1","2.9452945","-10.569095552","-9.17160466666667",49.6925,-74.34206
"40","McCaughey_CA-Gro_tower1","-2.400367945","-39.67622987","-43.34041325",48.2167,-82.1556
"41","McCaughey_CA-Man_tower1","-10.8600315","-15.33161625","-29.8944204",55.87962,-98.48081
"46","Nakai_US-Prr_tower1","5.6372768845","-3.16853603440002","0.610659793333374",65.12367,-147.48756
"47","Nilsson_SE-Deg_tower1","2.99528571428571","-19.7675","-14.7208333333333",64.182029,19.556539
"48","Parmentier_NO-And_tower1","-14.64267730425","-2.76688336275","-5.668725512375",69.14278,16.02222
"49","Schuur_US-EML_tower1","10.2534232017","5.3061647075","18.1133154633333",63.8784,-149.2536
"52","Tuittila_FI-Sii_tower1","-18.8707059175","31.33836170275","12.467655783",61.83265,24.19285
"54","Vesala_FI-Hyy_tower1","-7.96242072727273","1.88250000000002","-1.11841226749999",61.84741,24.29477
